scientific_name,ID,latitude,longitude,localiad,provincia,pais,fuente,Comentarios
Calomys venustus,M1,-33.608363,-62.625329,Alejo Ledesma,C�rdoba,ARG,Marina,
Calomys venustus,M2,-33.608363,-62.625329,Alejo Ledesma,C�rdoba,ARG,Marina,
Calomys venustus,M3,-33.608363,-62.625329,Alejo Ledesma,C�rdoba,ARG,Marina,
Calomys venustus,M4,-33.608363,-62.625329,Alejo Ledesma,C�rdoba,ARG,Marina,
Calomys venustus,CE 3,-31.4802777777778,-64.01,Capilla de los remedios,C�rdoba,ARG,Captura Raul,
Calomys venustus,CE40,-31.4802777777778,-64.01,Capilla de los remedios,C�rdoba,ARG,Captura Raul,
Calomys venustus,CE43,-31.4802777777778,-64.01,Capilla de los remedios,C�rdoba,ARG,Captura Raul,
Calomys venustus,CE44,-31.4802777777778,-64.01,Capilla de los remedios,C�rdoba,ARG,Captura Raul,
Calomys venustus,CE 2,-31.4802777777778,-64.01,Capilla de los remedios,C�rdoba,ARG,Captura Raul,
Calomys venustus,CE 5,-31.4802777777778,-64.01,Capilla de los remedios,C�rdoba,ARG,Captura Raul,
Calomys venustus,CE 6,-31.4802777777778,-64.01,Capilla de los remedios,C�rdoba,ARG,Captura Raul,
Calomys venustus,CE35,-31.4802777777778,-64.01,Capilla de los remedios,C�rdoba,ARG,Captura Raul,
Calomys venustus,CE36,-31.4802777777778,-64.01,Capilla de los remedios,C�rdoba,ARG,Captura Raul,
Calomys venustus,CE37,-31.4802777777778,-64.01,Capilla de los remedios,C�rdoba,ARG,Captura Raul,
Calomys venustus,CE38,-31.4802777777778,-64.01,Capilla de los Remedios,C�rdoba,ARG,Captura Raul,
Calomys venustus,CE39,-31.4802777777778,-64.01,Capilla de los remedios,C�rdoba,ARG,Captura Raul,
Calomys venustus,CE46,-31.4802777777778,-64.01,Capilla de los Remedios,C�rdoba,ARG,Captura Raul,
Calomys venustus,CE8,-31.4802777777778,-64.01,Capilla de los Remedios,C�rdoba,ARG,Captura Raul,
Calomys venustus,37800,-32.01863,-61.759203,Carlos Pellegrini,Santa Fe,ARG,INEVH,
Calomys venustus,37820,-32.01863,-61.759203,Carlos Pellegrini,Santa Fe,ARG,INEVH,
Calomys venustus,A436,-33.013123,-64.169252,Chucul,C�rdoba,ARG,Marina,
Calomys venustus,A437,-33.013123,-64.169252,Chucul,C�rdoba,ARG,Marina,
Calomys venustus,A438,-33.013123,-64.169252,Chucul,C�rdoba,ARG,Marina,
Calomys venustus,356,-31.6513888888889,-61.5236111111111,Esperanza,Santa Fe,ARG,Fantozzi,
Calomys venustus,361,-31.6513888888889,-61.5236111111111,Esperanza,Santa Fe,ARG,Fantozzi,
Calomys venustus,376,-31.6513888888889,-61.5236111111111,Esperanza,Santa Fe,ARG,Fantozzi,
Calomys venustus,37757,-31.475466,-60.967072,Esperanza,Santa Fe,ARG,INEVH,
Calomys venustus,ACO110,-33.126408,-66.027556,La Florida,San Luis,ARG,Ochoa,
Calomys venustus,ACO113,-33.126408,-66.027556,La Florida,San Luis,ARG,Ochoa,
Calomys venustus,ACO114,-33.126408,-66.027556,La Florida,San Luis,ARG,Ochoa,
Calomys venustus,ACO115,-33.126408,-66.027556,La Florida,San Luis,ARG,Ochoa,
Calomys venustus,ACO116,-33.126408,-66.027556,La Florida,San Luis,ARG,Ochoa,
Calomys venustus,ACO31,-33.126408,-66.027556,La Florida,San Luis,ARG,Ochoa,
Calomys venustus,Mol13,-31.199359,-64.47688,Molinari,C�rdoba,ARG,Noemi,
Calomys venustus,Mol41,-31.199359,-64.47688,Molinari,C�rdoba,ARG,Noemi,
Calomys venustus,37601,-31.9663333333333,-62.8449333333333,Pozo del Molle,C�rdoba,ARG,INEVH,
Calomys venustus,37602,-31.9663333333333,-62.8449333333333,Pozo del Molle,C�rdoba,ARG,INEVH,
Calomys venustus,37587,-31.9663333333333,-62.8449333333333,Pozo del Molle,C�rdoba,ARG,INEVH,
Calomys venustus,37590,-31.9663333333333,-62.8449333333333,Pozo del Molle,C�rdoba,ARG,INEVH,
Calomys venustus,37596,-31.9663333333333,-62.8449333333333,Pozo del Molle,C�rdoba,ARG,INEVH,
Calomys venustus,37598,-31.9663333333333,-62.8449333333333,Pozo del Molle,C�rdoba,ARG,INEVH,
Calomys venustus,37606,-31.99235,-62.8840166666667,Pozo del Molle,C�rdoba,ARG,INEVH,
Calomys venustus,37615,-31.99235,-62.8840166666667,Pozo del Molle,C�rdoba,ARG,INEVH,
Calomys venustus,39032,-31.5086666666667,-63.0521666666667,Sacanta,C�rdoba,ARG,INEVH,
Calomys venustus,39064,-31.5368,-63.05655,Sacanta,C�rdoba,ARG,INEVH,
Calomys venustus,39000,-31.5087666666667,-63.0552166666667,Sacanta,C�rdoba,ARG,INEVH,
Calomys venustus,39005,-31.5368,-63.0552166666667,Sacanta,C�rdoba,ARG,INEVH,
Calomys venustus,39033,-31.5368,-63.0552166666667,Sacanta,C�rdoba,ARG,INEVH,
Calomys venustus,39065,-31.5087666666667,-63.0552166666667,Sacanta,C�rdoba,ARG,INEVH,
Calomys venustus,39067,-31.5368,-63.0552166666667,Sacanta,C�rdoba,ARG,INEVH,
Calomys venustus,39068,-31.5368,-63.0552166666667,Sacanta,C�rdoba,ARG,INEVH,
Calomys venustus,39069,-31.5087666666667,-63.0552166666667,Sacanta,C�rdoba,ARG,INEVH,
Calomys venustus,100,-31.664589,-63.047303,Sacanta,C�rdoba,ARG,INEVH,
Calomys venustus,101,-31.664589,-63.047303,Sacanta,C�rdoba,ARG,INEVH,
Calomys venustus,37766,-31.9354333333333,-61.8588666666667,San Jorge,Santa Fe,ARG,INEVH,
Calomys venustus,37773,-31.9588333333333,-61.8542333333333,San Jorge,Santa Fe,ARG,INEVH,
Calomys venustus,37807,-31.9354333333333,-61.8588666666667,San Jorge,Santa Fe,ARG,INEVH,
Calomys venustus,37811,-32.01863,-61.759203,San Jorge,Santa Fe,ARG,INEVH,
Calomys venustus,37813,-31.9588333333333,-61.8542333333333,San Jorge,Santa Fe,ARG,INEVH,
Calomys venustus,37763,-31.9588333333333,-61.8542333333333,San Jorge,Santa Fe,ARG,INEVH,
Calomys venustus,37764,-31.9354333333333,-61.8588666666667,San Jorge,Santa Fe,ARG,INEVH,
Calomys venustus,37769,-31.9354333333333,-61.8588666666667,San Jorge,Santa Fe,ARG,INEVH,
Calomys venustus,37770,-31.9588333333333,-61.8542333333333,San Jorge,Santa Fe,ARG,INEVH,
Calomys venustus,37796,-31.9588333333333,-61.8542333333333,San Jorge,Santa Fe,ARG,INEVH,
Calomys venustus,37808,-31.9354333333333,-61.8588666666667,San Jorge,Santa Fe,ARG,INEVH,
Calomys venustus,37809,-31.9588333333333,-61.8542333333333,San Jorge,Santa Fe,ARG,INEVH,
Calomys venustus,37811,-31.9588333333333,-61.8542333333333,San Jorge,Santa Fe,ARG,INEVH,
Calomys venustus,37813,-31.9588333333333,-61.8542333333333,San Jorge,Santa Fe,ARG,INEVH,
Calomys venustus,SgoTemp2,-31.3833,-63.4167,Santiago Temple,C�rdoba,ARG,Gerardo Theiler,
Calomys venustus,vaq22,-31.119963,-64.439299,Vaquerias,C�rdoba,ARG,Boaglio,
Calomys venustus,vaq5,-31.113068,-64.45388,Vaquerias,C�rdoba,ARG,Boaglio,
Calomys venustus,1835769103,-33.333746,-66.233348,Daniel Donovan,,AR,GBIF,
Calomys venustus,1835769101,-33.333746,-66.233348,Daniel Donovan,,AR,GBIF,
Calomys venustus,1835768994,-33.333746,-66.233348,Daniel Donovan,,AR,GBIF,
Calomys venustus,1835768989,-33.333746,-66.233348,Daniel Donovan,,AR,GBIF,
Calomys venustus,1835768969,-33.333746,-66.233348,Daniel Donovan,,AR,GBIF,
Calomys venustus,894786574,-32.602413,-66.131518,San Francisco del Monte de Oro,,AR,GBIF,
Calomys venustus,894781407,-29.406262,-63.530844,"Buena Vista, 15 km NE Va. Ojo de Agua off of Hwy 13",,AR,GBIF,
Calomys venustus,894781403,-29.406262,-63.530844,"Buena Vista, 15 km NE Va. Ojo de Agua off of Hwy 13",,AR,GBIF,
Calomys venustus,894781388,-29.406262,-63.530844,"Buena Vista, 15 km NE Va. Ojo de Agua on Hwy 13",,AR,GBIF,
Calomys venustus,202062057,-29.406262,-63.530844,"15 km NE Villa Ojo de Agua on Hwy 13, Buena Vista",,AR,GBIF,
Calomys venustus,202062056,-29.406262,-63.530844,"15 km NE Villa Ojo de Agua on Hwy 13, Buena Vista",,AR,GBIF,
Calomys venustus,202062052,-32.602413,-66.131518,San Francisco del Monte de Oro,,AR,GBIF,
Calomys venustus,202061909,-29.406262,-63.530844,"15 km NE Villa Ojo de Agua on Hwy 13, Buena Vista",,AR,GBIF,
Calomys venustus,KY753959,-32.676533,-64.98647,Papagayos,San Luis,ARG,"Steppan,S.J. and Schenk,J.J.",
Calomys venustus,AY033174 ,-33.01666667,-64.35,Chucul,C?rdoba,ARG,Salazar-Bravo et al. 2001,
Calomys venustus,AY033175 ,-33.01666667,-64.35,Chucul,C?rdoba,ARG,Salazar-Bravo et al. 2001,
Calomys venustus,AY033176 ,-29.4333,-63.5667,Ojo de agua,Santiago del Estero,ARG,Almeida et al. 2007; Salazar-Bravo et al. 2002,
Calomys venustus,35540,-32.909107,-64.5931375,,,,Vanesa Serafini,
Calomys venustus,35541,-32.909107,-64.5931375,,,,Vanesa Serafini,
Calomys venustus,35555,-32.988887,-64.3536305,,,,Vanesa Serafini,
Calomys venustus,35566,-32.909107,-64.5931375,,,,Vanesa Serafini,
Calomys venustus,35574,-32.9481985,-64.4966955,,,,Vanesa Serafini,
Calomys venustus,35602,-32.988887,-64.3536305,,,,Vanesa Serafini,
Calomys venustus,36260,-32.86589,-64.52337,,,,Vanesa Serafini,
Calomys venustus,36275,-32.838438,-64.5716385,,,,Vanesa Serafini,
Calomys venustus,36292,-32.831111,-64.464478,,,,Vanesa Serafini,
Calomys venustus,36407,-32.954275,-64.3577855,,,,Vanesa Serafini,
Calomys venustus,36419,-32.9736195,-64.35397,,,,Vanesa Serafini,
Calomys venustus,36446,-32.831111,-64.464478,,,,Vanesa Serafini,
Calomys venustus,1919781558,-32.107978,-64.754731,"Yacanto, Cordoba Range, Villa  Dolores, Argentina",,,GBIf (originalmente como C. callosus),
Calomys venustus,1919666169,-32.486985,-61.591003,"Las Rosas, Prov. Santa F�",,,GBIf (originalmente como C. callosus),
Calomys venustus,1919666129,-32.486985,-61.591003,"Las Rosas, Prov. Santa F�",,,GBIf (originalmente como C. callosus),
Calomys venustus,1919666063,-32.486985,-61.591003,"Las Rosas, Prov. Santa F�",,,GBIf (originalmente como C. callosus),
Calomys venustus,1919666032,-30.75,-64.5583,"El Carrizal, Cordova Range",,,GBIf (originalmente como C. callosus),
Calomys venustus,1919666031,-30.75,-64.5583,"El Carrizal, Cordova Range",,,GBIf (originalmente como C. callosus),
Calomys venustus,1919666018,-30.75,-64.5583,"El Carrizal, Cordova Range",,,GBIf (originalmente como C. callosus),
Calomys venustus,1919666004,-32.486985,-61.591003,"Las Rosas, Prov. Santa F�",,,GBIf (originalmente como C. callosus),
Calomys venustus,1919665990,-32.486985,-61.591003,"Las Rosas, Prov. Santa F�",,,GBIf (originalmente como C. callosus),
Calomys venustus,1919665969,-32.368052,-62.32513,"Noetinger, C�rdoba",,,GBIf (originalmente como C. callosus),
Calomys venustus,1919665967,-32.368052,-62.32513,"Noetinger, C�rdoba",,,GBIf (originalmente como C. callosus),
Calomys venustus,1919665962,-32.107978,-64.754731,"Yacanto, Cordoba Range",,,GBIf (originalmente como C. callosus),
Calomys venustus,1919665952,-32.107978,-64.754731,"Yacanto, Cordoba Range",,,GBIf (originalmente como C. callosus),
Calomys venustus,1919665949,-32.368052,-62.32513,"Noetinger, C�rdoba",,,GBIf (originalmente como C. callosus),
